ErrorName,ErrorCode,ExternalErrorCode,OverriddenUserFacingMessage
Location40600,M008T,40600,null
Location40601,M008U,40601,null
Location40602,M008V,40602,null
Location40603,M008W,40603,null
ChangeStreamBadResumeToken,M008Z,40647,null
Location40684,M0090,40684,null
InsufficientPrivilege,M00E7,42501,null
Location50694,M0091,50694,null
Location50695,M0092,50695,null
Location50696,M0093,50696,null
Location50699,M0094,50699,null
Location50700,M0095,50700,null
Location50723,M0096,50723,null
Location50752,M0097,50752,null
Location50759,M0098,50759,null
Location50989,M003U,50989,null
Location51002,M00ES,51002,null
Location51003,M00E0,51003,null
Location51024,M0099,51024,null
Location51044,M003S,51044,null
Location51045,M003T,51045,null
Location51047,M009A,51047,null
Location51074,M009B,51074,null
Location51075,M009C,51075,null
DollarRoundOverflowInt64,M009D,51080,null
DollarRoundFirstArgMustBeNumeric,M009E,51081,null
DollarRoundPrecisionMustBeIntegral,M009F,51082,null
DollarRoundPrecisionOutOfRange,M009G,51083,null
Location51091,M009H,51091,null
Location51103,M009I,51103,null
Location51104,M009J,51104,null
Location51105,M009K,51105,null
Location51106,M009L,51106,null
Location51107,M009M,51107,null
Location51108,M009N,51108,null
Location51109,M009O,51109,null
Location51110,M009P,51110,null
Location51111,M009Q,51111,null
Location51132,M009R,51132,null
Location51134,M009S,51134,null
Location51151,M009T,51151,null
Location51156,M009U,51156,null
Location51178,M009V,51178,null
Location51183,M009W,51183,null
Location51185,M009X,51185,null
Location51186,M009Y,51186,null
Location51187,M009Z,51187,null
Location51191,M00A0,51191,null
Location51246,M00A1,51246,null
Location51247,M00A3,51247,null
Location51276,M00A2,51276,null
Location51743,M00A4,51743,null
Location51744,M00A5,51744,null
Location51745,M00A6,51745,null
Location51746,M00A7,51746,null
Location51747,M00A8,51747,null
Location51748,M00A9,51748,null
Location51749,M00AA,51749,null
Location51750,M00AB,51750,null
Location51751,M00AC,51751,null
Location327391,M00AD,327391,null
Location327392,M00AE,327392,null
Location605001,M00CP,605001,null
DollarIfNullRequiresAtLeastTwoArgs,M00AF,1257300,null
Location2942500,M00AK,2942500,null
Location2942501,M00AL,2942501,null
Location2942502,M00AM,2942502,null
Location2942503,M00AN,2942503,null
Location2942504,M00AO,2942504,null
Location2942505,M00AP,2942505,null
Location2942506,M00AQ,2942506,null
DollarRandNonEmptyArgument,M00AG,3040501,null
Location3041701,M00AR,3041701,null
Location3041702,M00AS,3041702,null
Location3041703,M00AT,3041703,null
Location3041704,M00E5,3041704,null
IntermediateResultTooLarge,M00AH,4031700,null
DollarSetFieldRequiresObject,M00AI,4161100,null
DollarSetFieldUnknownArgument,M00AJ,4161101,null
Location4161102,M00AU,4161102,null
Location4161103,M00AV,4161103,null
Location4161104,M00AW,4161104,null
Location4161105,M00AX,4161105,null
Location4161106,M00AY,4161106,null
Location4161107,M00AZ,4161107,null
Location4161108,M00B0,4161108,null
Location4161109,M00B1,4161109,null
Location4341107,M00E6,4341107,null
Location4544714,M00ET,4544714,null
Location4890500,M00B2,4890500,null
Location4940400,M00B3,4940400,null
Location4940401,M00B4,4940401,null
Location5107200,M00BC,5107200,null
Location5107201,M00BD,5107201,null
Location5166301,M00BE,5166301,null
Location5166302,M00BF,5166302,null
Location5166303,M00BG,5166303,null
Location5166304,M00BH,5166304,null
Location5166305,M00BI,5166305,null
Location5166307,M00BJ,5166307,null
Location5166400,M00B5,5166400,null
Location5166401,M00B6,5166401,null
Location5166402,M00B7,5166402,null
Location5166403,M00B8,5166403,null
Location5166404,M00B9,5166404,null
Location5166405,M00BA,5166405,null
Location5166406,M00BB,5166406,null
Location5339900,M00BK,5339900,null
Location5339901,M00BL,5339901,null
Location5339902,M00BM,5339902,null
Location5371601,M00CL,5371601,null
Location5371602,M00CM,5371602,null
Location5371603,M00CN,5371603,null
Location5423900,M00DC,5423900,null
Location5423901,M00DD,5423901,null
Location5423902,M00DE,5423902,null
Location5429413,M00BN,5429413,null
Location5429414,M00BO,5429414,null
Location5429513,M00BP,5429513,null
Location5439007,M00BQ,5439007,null
Location5439008,M00BR,5439008,null
Location5439009,M00BS,5439009,null
Location5439010,M00BT,5439010,null
Location5439012,M00BU,5439012,null
Location5439013,M00BV,5439013,null
Location5439014,M00BW,5439014,null
Location5439015,M00BX,5439015,null
Location5439016,M00BY,5439016,null
Location5439017,M00BZ,5439017,null
Location5439018,M00C0,5439018,null
Location5490710,M00DF,5490710,null
Location5624900,M00DG,5624900,null
Location5624901,M00DH,5624901,null
Location5626500,M00C1,5626500,null
Location5654600,M00C2,5654600,null
Location5654601,M00C3,5654601,null
Location5654602,M00C4,5654602,null
Location5687301,M00C5,5687301,null
Location5687302,M00C6,5687302,null
Location5687400,M00C7,5687400,null
Location5687401,M00C8,5687401,null
Location5733201,M00CY,5733201,null
Location5733401,M00CZ,5733401,null
Location5733402,M00D0,5733402,null
Location5733403,M00D1,5733403,null
Location5733406,M00D2,5733406,null
Location5733408,M00D3,5733408,null
Location5733409,M00D4,5733409,null
Location5746102,M00C9,5746102,null
Location5787801,M00CA,5787801,null
Location5787900,M00CB,5787900,null
Location5787901,M00CC,5787901,null
Location5787902,M00CD,5787902,null
Location5787903,M00CE,5787903,null
Location5787906,M00CF,5787906,null
Location5787907,M00CG,5787907,null
Location5787908,M00CH,5787908,null
Location5788001,M00CT,5788001,null
Location5788002,M00CU,5788002,null
Location5788003,M00CV,5788003,null
Location5788004,M00CW,5788004,null
Location5788005,M00CX,5788005,null
Location5788200,M00CI,5788200,null
Location5788604,M00DK,5788604,null
Location5858203,M00CJ,5858203,null
Location5860402,M00E2,5860402,null
Location5876900,M00D5,5876900,null
Location5897900,M00D6,5897900,null
Location5946802,M00D7,5946802,null
Location5976500,M00CK,5976500,null
Location6007200,M00D8,6007200,null
Location6045000,M001X,6045000,null
Location6050106,M00CQ,6050106,null
Location6050202,M00DI,6050202,null
Location6050204,M00DJ,6050204,null
Location6053600,M00D9,6053600,null
Location6586400,M00DA,6586400,null
Location7429703,M00DV,7429703,null
Location7436100,M00DW,7436100,null
Location7555701,M00E3,7555701,null
Location7555702,M00E4,7555702,null
Location7749501,M00E1,7749501,null
Location7750301,M00DX,7750301,null
Location7750302,M00DY,7750302,null
Location7750303,M00DZ,7750303,null
Location8993000,M00DB,8993000,null
